uid,name,parent,coordinates
KozcEjeTyuD,Lusaka,zm Zambia Ministry of Health,"[[[[27.8207,-15.2704],[27.8365,-15.266],[27.8542,-15.2348],[27.8887,-15.2574],[27.9433,-15.2772],[27.9754,-15.2945],[28.0003,-15.2597],[28.0087,-15.2695],[28.0842,-15.2775],[28.1727,-15.3071],[28.25,-15.344],[28.2766,-15.3414],[28.295,-15.2583],[28.3143,-15.2599],[28.3155,-15.2136],[28.3408,-15.2035],[28.328,-15.1862],[28.3639,-15.1542],[28.3671,-15.14],[28.4125,-15.1196],[28.4693,-15.1248],[28.5113,-15.1361],[28.55,-15.1808],[28.6754,-15.1788],[28.7048,-15.1662],[28.7261,-15.1712],[28.7972,-15.1719],[28.8044,-15.1609],[28.8748,-15.1648],[28.9692,-14.9941],[29.1242,-14.9762],[29.2452,-14.8688],[29.3675,-14.9841],[29.5,-14.9844],[29.5069,-14.9749],[29.5062,-14.8197],[29.5642,-14.8157],[29.6095,-14.7779],[29.6542,-14.763],[29.6626,-14.7495],[29.7059,-14.7348],[29.7419,-14.7164],[29.7676,-14.7177],[29.8122,-14.6931],[29.8617,-14.691],[29.8915,-14.6743],[29.9076,-14.6473],[29.9199,-14.6726],[29.9532,-14.6602],[29.9583,-14.6429],[30.0043,-14.646],[30.0522,-14.6675],[30.059,-14.6967],[30.0907,-14.7034],[30.1222,-14.7387],[30.1238,-14.7428],[30.124,-14.7441],[30.124,-14.7453],[30.1259,-14.7479],[30.1562,-14.7764],[30.1586,-14.7781],[30.1789,-14.7929],[30.1826,-14.795],[30.1873,-14.8114],[30.1891,-14.8123],[30.2066,-14.8341],[30.2082,-14.8387],[30.2068,-14.847],[30.2058,-14.8507],[30.2109,-14.8662],[30.1991,-14.9218],[30.2033,-14.9279],[30.2042,-14.9314],[30.2049,-14.9426],[30.2054,-14.9457],[30.2057,-14.9485],[30.2059,-14.9512],[30.2065,-14.9526],[30.2084,-14.9553],[30.2145,-14.9669],[30.215,-14.9693],[30.2124,-14.9747],[30.2114,-14.9769],[30.2114,-14.979],[30.2127,-14.9818],[30.2139,-14.9849],[30.2147,-14.987],[30.2158,-14.989],[30.2163,-14.9934],[30.2163,-14.9938],[30.2337,-15.0363],[30.221,-15.0636],[30.222,-15.0974],[30.2322,-15.1123],[30.2317,-15.1417],[30.2449,-15.1544],[30.2598,-15.1945],[30.2559,-15.2142],[30.2996,-15.2765],[30.3696,-15.3398],[30.3796,-15.3667],[30.378,-15.4163],[30.3847,-15.4513],[30.4006,-15.4763],[30.3674,-15.5548],[30.3895,-15.5751],[30.4201,-15.6203],[30.401,-15.6362],[30.3531,-15.6544],[30.3172,-15.6451],[30.2793,-15.6454],[30.26,-15.6259],[30.2175,-15.6662],[30.1875,-15.6452],[30.1752,-15.6208],[30.16,-15.6175],[30.1107,-15.6267],[30.0676,-15.625],[30.0533,-15.6329],[29.9671,-15.6425],[29.9347,-15.6232],[29.9018,-15.6222],[29.8771,-15.6121],[29.8209,-15.6088],[29.7756,-15.6152],[29.7157,-15.642],[29.6494,-15.6579],[29.6102,-15.661],[29.5771,-15.6418],[29.545,-15.6458],[29.5004,-15.6852],[29.4342,-15.6889],[29.4037,-15.7096],[29.3623,-15.7099],[29.3115,-15.7326],[29.2662,-15.7584],[29.2272,-15.7636],[29.1495,-15.8167],[29.0543,-15.8913],[29.0344,-15.9261],[29.0143,-15.9446],[28.9936,-15.9378],[28.9451,-15.9399],[28.9272,-15.9478],[28.8896,-15.9375],[28.8617,-15.9497],[28.8253,-15.9443],[28.8046,-15.9614],[28.7913,-15.9517],[28.7724,-15.9677],[28.7503,-15.955],[28.7321,-15.9646],[28.7196,-15.9415],[28.6987,-15.9375],[28.6715,-15.9036],[28.6445,-15.8964],[28.6212,-15.907],[28.5814,-15.9076],[28.5459,-15.8786],[28.5157,-15.8709],[28.4955,-15.8489],[28.4481,-15.8477],[28.4172,-15.804],[28.3862,-15.7879],[28.3493,-15.7775],[28.3024,-15.8042],[28.2771,-15.7952],[28.2461,-15.8349],[28.2247,-15.8371],[28.1939,-15.819],[28.1786,-15.7904],[28.1196,-15.7753],[28.073,-15.7446],[28.0414,-15.7482],[28.0223,-15.7361],[28.0225,-15.7179],[27.9847,-15.7108],[27.976,-15.7321],[27.9496,-15.7567],[27.9012,-15.7411],[27.8999,-15.7243],[27.8697,-15.7142],[27.8341,-15.7453],[27.8021,-15.7398],[27.8036,-15.717],[27.8288,-15.7081],[27.8373,-15.6819],[27.8068,-15.6633],[27.7865,-15.6667],[27.7557,-15.6528],[27.7361,-15.6767],[27.7148,-15.6616],[27.6913,-15.6745],[27.6539,-15.6344],[27.677,-15.6012],[27.6638,-15.567],[27.6445,-15.5454],[27.6369,-15.521],[27.6197,-15.5242],[27.5917,-15.5103],[27.5628,-15.4801],[27.463,-15.412],[27.4858,-15.3831],[27.5248,-15.3898],[27.5832,-15.3881],[27.6133,-15.3814],[27.6417,-15.3603],[27.5988,-15.3096],[27.6072,-15.2517],[27.5632,-15.1933],[27.5409,-15.1816],[27.5204,-15.1356],[27.5198,-15.1025],[27.4939,-15.0529],[27.5485,-15.0232],[27.5746,-15.0199],[27.5989,-15.0301],[27.6371,-15.106],[27.6463,-15.1317],[27.6838,-15.1897],[27.6875,-15.2108],[27.7222,-15.2363],[27.7381,-15.2676],[27.7697,-15.3134],[27.7965,-15.2973],[27.8207,-15.2704]]]]"
q5hODNmn021,North-Western,zm Zambia Ministry of Health,"[[[[24.327,-11.3705],[24.3052,-11.369],[24.2784,-11.3863],[24.2928,-11.399],[24.3466,-11.4133],[24.3646,-11.4008],[24.399,-11.421],[24.42,-11.4246],[24.4416,-11.4665],[24.4605,-11.4608],[24.5288,-11.4624],[24.5483,-11.4423],[24.5748,-11.4526],[24.5918,-11.4412],[24.5916,-11.4185],[24.6419,-11.3996],[24.6725,-11.351],[24.7183,-11.3274],[24.752,-11.3014],[24.7942,-11.3081],[24.8261,-11.2954],[24.8642,-11.2897],[24.8687,-11.2654],[24.9106,-11.2731],[24.9279,-11.2581],[24.9718,-11.2592],[25.0279,-11.244],[25.0666,-11.2581],[25.1549,-11.2387],[25.2039,-11.2345],[25.2382,-11.224],[25.3022,-11.1899],[25.338,-11.1904],[25.3447,-11.2032],[25.3182,-11.2609],[25.3384,-11.2775],[25.3233,-11.2911],[25.2939,-11.3005],[25.3038,-11.3297],[25.2803,-11.3484],[25.2771,-11.3681],[25.2982,-11.4323],[25.2958,-11.4581],[25.3116,-11.4968],[25.2873,-11.5111],[25.3104,-11.5632],[25.3243,-11.5724],[25.3335,-11.6218],[25.3861,-11.6444],[25.4165,-11.6685],[25.4425,-11.6685],[25.4775,-11.6783],[25.4926,-11.7115],[25.4897,-11.7555],[25.512,-11.7805],[25.5474,-11.7602],[25.5834,-11.7491],[25.5973,-11.7333],[25.6465,-11.7312],[25.6726,-11.767],[25.7157,-11.8037],[25.7706,-11.8174],[25.8226,-11.8226],[25.8704,-11.8054],[25.8798,-11.8087],[25.8989,-11.8515],[25.9216,-11.8736],[25.9708,-11.8773],[25.993,-11.9065],[25.9916,-11.9345],[26.0404,-11.9298],[26.1244,-11.9375],[26.2238,-11.9238],[26.2881,-11.9399],[26.3229,-11.9586],[26.3574,-11.9474],[26.4141,-11.9281],[26.43,-11.9179],[26.4733,-11.9164],[26.5714,-11.9743],[26.6128,-11.9676],[26.6588,-11.9835],[26.6828,-11.9809],[26.7114,-12.0011],[26.7547,-11.9685],[26.7952,-11.9596],[26.836,-11.9802],[26.8759,-11.9834],[26.9024,-11.9686],[26.9338,-11.9378],[26.9661,-11.9202],[26.983,-11.8867],[27.0125,-11.8538],[27.0086,-11.8187],[27.0146,-11.8022],[27.0155,-11.7488],[27.0496,-11.7207],[27.0542,-11.7033],[27.0269,-11.6267],[27.0472,-11.5994],[27.0807,-11.6059],[27.1195,-11.5974],[27.1697,-11.5983],[27.2136,-11.5753],[27.2255,-11.5943],[27.2407,-11.6814],[27.2355,-11.7337],[27.2387,-11.7843],[27.2742,-11.8109],[27.2976,-11.8146],[27.3496,-11.8386],[27.4782,-11.9332],[27.4853,-11.9684],[27.4796,-12.0038],[27.4858,-12.0484],[27.5048,-12.0601],[27.52,-12.1014],[27.5326,-12.1607],[27.5741,-12.2078],[27.6149,-12.2203],[27.6295,-12.2563],[27.5879,-12.271],[27.5737,-12.2675],[27.485,-12.3109],[27.5028,-12.2836],[27.4628,-12.2778],[27.4765,-12.2569],[27.4457,-12.2473],[27.3945,-12.2822],[27.3629,-12.2941],[27.3576,-12.3178],[27.3365,-12.313],[27.308,-12.3261],[27.3031,-12.3688],[27.2665,-12.355],[27.2019,-12.3458],[27.1186,-12.3452],[27.0636,-12.3382],[27.0636,-12.3576],[27.085,-12.4145],[27.0641,-12.4552],[27.069,-12.492],[27.0875,-12.5098],[27.0743,-12.5271],[27.0454,-12.5337],[27.0009,-12.5579],[26.9666,-12.5927],[26.9562,-12.6209],[26.8832,-12.6371],[26.8804,-12.6512],[26.8688,-12.675],[26.8667,-12.7205],[26.8518,-12.7393],[26.857,-12.7614],[26.875,-12.7868],[26.899,-12.7976],[26.9178,-12.8203],[26.9063,-12.8527],[26.8731,-12.8877],[26.9308,-12.9243],[26.9471,-12.943],[26.9945,-12.9537],[27.0192,-12.9787],[27.0122,-12.9965],[27.0357,-13.0059],[27.067,-13.0003],[27.087,-13.0228],[27.0923,-13.0417],[27.0736,-13.1334],[27.0548,-13.1476],[27.0306,-13.1506],[26.9997,-13.1825],[26.962,-13.2021],[26.952,-13.2218],[26.953,-13.2669],[26.9788,-13.3099],[26.9713,-13.3625],[26.9297,-13.3752],[26.918,-13.4175],[26.8618,-13.4418],[26.8411,-13.5064],[26.7908,-13.5871],[26.7791,-13.6622],[26.7953,-13.6975],[26.8677,-13.7446],[26.8896,-13.7998],[26.9394,-13.8133],[26.9479,-13.8353],[26.9132,-13.9038],[26.9116,-13.9532],[26.9039,-13.9901],[26.8611,-14.0184],[26.8719,-14.0407],[26.9225,-14.097],[26.964,-14.13],[26.9921,-14.1849],[26.9818,-14.2474],[26.9797,-14.4173],[26.9349,-14.4125],[26.9074,-14.4181],[26.861,-14.4085],[26.8436,-14.4192],[26.8099,-14.4108],[26.7969,-14.4254],[26.7612,-14.4308],[26.7495,-14.4493],[26.7126,-14.4517],[26.6966,-14.4611],[26.6621,-14.4413],[26.6428,-14.4438],[26.6169,-14.4674],[26.5815,-14.4525],[26.5548,-14.4611],[26.5155,-14.4971],[26.5108,-14.5325],[26.447,-14.5595],[26.4215,-14.5847],[26.4033,-14.6249],[26.3817,-14.643],[26.371,-14.6718],[26.3805,-14.6992],[26.3227,-14.7267],[26.3107,-14.6944],[26.2585,-14.681],[26.2208,-14.6563],[26.1848,-14.6482],[26.1919,-14.6174],[25.7598,-14.5609],[25.586,-14.5429],[25.5845,-14.5338],[25.5257,-14.5342],[25.4305,-14.5789],[25.4021,-14.5848],[25.3319,-14.5841],[25.2332,-14.5998],[25.1894,-14.6232],[25.1707,-14.6186],[25.1387,-14.6324],[25.0556,-14.6286],[25.0107,-14.6085],[24.9822,-14.586],[24.9816,-14.56],[24.9711,-14.5337],[24.9815,-14.5038],[25.0197,-14.4568],[25.0473,-14.4348],[25.0701,-14.4046],[25.0715,-14.3773],[25.1052,-14.3375],[25.1069,-14.3172],[25.1257,-14.3074],[25.1311,-14.2865],[25.1005,-14.2532],[25.094,-14.2145],[25.0519,-14.22],[25.0068,-14.2015],[24.9695,-14.2052],[24.964,-14.1966],[24.8931,-14.1655],[24.8169,-14.1536],[24.8025,-14.1397],[24.766,-14.128],[24.734,-14.0882],[24.7474,-14.0704],[24.7456,-14.0351],[24.7259,-14.0047],[24.7114,-14.0015],[24.6901,-13.9689],[24.6706,-13.9623],[24.6473,-13.9776],[24.6421,-14.0011],[24.625,-13.9977],[24.6222,-13.9612],[24.5785,-13.9801],[24.5397,-13.9615],[24.498,-13.9122],[24.4658,-13.9623],[24.4526,-13.955],[24.4233,-13.965],[24.4071,-13.9482],[24.388,-13.9604],[24.3422,-13.9455],[24.3328,-13.9045],[24.3093,-13.8978],[24.2985,-13.933],[24.2791,-13.9428],[24.2599,-13.9146],[24.242,-13.9047],[24.1893,-13.9345],[24.1603,-13.9316],[24.1358,-13.9693],[24.0787,-13.9596],[24.0823,-13.9784],[24.0656,-13.9899],[24.0475,-13.9681],[24.0144,-14.0136],[23.9382,-13.9857],[23.9054,-13.9891],[23.8771,-13.9802],[23.8706,-13.997],[23.8478,-14.0075],[23.8244,-13.9897],[23.7709,-13.9842],[23.7495,-14.0],[23.7282,-14.0321],[23.6998,-14.0374],[23.6781,-14.0137],[23.6568,-14.0297],[23.6146,-14.0325],[23.5348,-14.0857],[23.529,-14.0978],[23.4974,-14.1038],[23.4599,-14.1007],[23.4189,-14.1074],[23.3889,-14.1391],[23.3839,-14.1602],[23.3677,-14.1695],[23.3211,-14.171],[23.3057,-14.1648],[23.2813,-14.186],[23.2518,-14.1813],[23.2377,-14.1984],[23.2207,-14.1891],[23.2215,-14.1652],[23.1864,-14.1661],[23.2016,-14.1308],[23.2127,-14.1239],[23.241,-14.0758],[23.245,-14.042],[23.2236,-14.0058],[23.1519,-14.0344],[23.1198,-14.0321],[23.0943,-13.9892],[23.0529,-13.993],[23.0083,-14.0079],[22.9913,-13.9982],[22.981,-13.9649],[22.9655,-13.9417],[22.8851,-13.8987],[22.848,-13.8728],[22.8011,-13.9269],[22.7442,-13.9263],[22.7207,-13.9993],[22.696,-13.9998],[22.6903,-13.9925],[22.6865,-13.9906],[22.6766,-13.9898],[22.6731,-13.9883],[22.6693,-13.9858],[22.666,-13.9843],[22.6547,-13.997],[22.6508,-13.998],[22.6514,-13.9885],[22.6542,-13.9842],[22.6549,-13.9792],[22.6521,-13.9757],[22.6453,-13.9758],[22.6379,-13.9735],[22.6243,-13.9487],[22.621,-13.9502],[22.6094,-13.9568],[22.6112,-13.9545],[22.5993,-13.9442],[22.594,-13.944],[22.5879,-13.9461],[22.5854,-13.9438],[22.5867,-13.94],[22.5842,-13.9356],[22.5802,-13.9337],[22.5783,-13.935],[22.5766,-13.9375],[22.5755,-13.9388],[22.5715,-13.9371],[22.5573,-13.9369],[22.5551,-13.9386],[22.5529,-13.9356],[22.5416,-13.9281],[22.5372,-13.9293],[22.5368,-13.9264],[22.5276,-13.921],[22.5277,-13.9171],[22.5237,-13.9167],[22.5214,-13.9141],[22.5127,-13.913],[22.5094,-13.9109],[22.481,-13.876],[22.4318,-13.8675],[22.4117,-13.8367],[22.3732,-13.8289],[22.3433,-13.7948],[22.2757,-13.7517],[22.2409,-13.7452],[22.2162,-13.7622],[22.1961,-13.7554],[22.179,-13.768],[22.1553,-13.7534],[22.1265,-13.7529],[22.1173,-13.7642],[22.0754,-13.754],[22.0403,-13.7285],[22.0057,-13.7142],[21.9926,-13.7185],[22.0,-13.3192],[22.0,-13.0],[22.4914,-13.0],[22.7128,-13.0],[23.1029,-12.9999],[23.3163,-12.9998],[23.6734,-13.0],[24.0622,-13.0008],[24.0302,-12.9669],[24.0317,-12.9445],[24.0009,-12.9246],[23.9881,-12.9031],[23.9439,-12.8902],[23.9244,-12.8578],[23.8988,-12.833],[23.905,-12.8193],[23.9041,-12.7616],[23.9345,-12.6982],[23.9285,-12.6672],[23.9509,-12.6294],[23.961,-12.5914],[23.9491,-12.5557],[23.9601,-12.5207],[24.0032,-12.479],[24.0403,-12.4327],[24.0644,-12.4245],[24.0773,-12.3607],[24.0423,-12.3326],[24.0661,-12.308],[24.0618,-12.2771],[24.0461,-12.242],[23.9974,-12.2061],[23.9831,-12.1694],[23.9762,-12.0752],[23.9934,-11.9112],[24.0022,-11.8556],[24.0289,-11.8282],[24.0185,-11.8116],[24.0075,-11.7609],[23.9924,-11.7404],[23.9859,-11.6985],[23.9624,-11.6608],[23.981,-11.6454],[23.9906,-11.6105],[24.0389,-11.5189],[24.0218,-11.4817],[24.0247,-11.4442],[24.0451,-11.4227],[24.0633,-11.4206],[24.0883,-11.403],[24.0671,-11.3493],[24.0576,-11.3063],[24.032,-11.2725],[24.0357,-11.1377],[24.0053,-11.1278],[24.02,-11.1012],[24.0113,-11.0525],[24.0111,-11.0136],[24.0215,-11.0012],[24.017,-10.9393],[23.9814,-10.9108],[24.0004,-10.8907],[24.0631,-10.8867],[24.0977,-10.9057],[24.1145,-10.9033],[24.1325,-10.923],[24.1203,-10.9434],[24.1438,-10.9825],[24.1475,-11.0386],[24.1627,-11.0419],[24.1873,-11.0189],[24.2554,-11.0431],[24.2994,-11.0397],[24.3302,-11.0527],[24.3757,-11.0807],[24.3893,-11.0966],[24.3874,-11.1573],[24.3776,-11.174],[24.4016,-11.2002],[24.3949,-11.2235],[24.4095,-11.236],[24.3871,-11.2832],[24.385,-11.3025],[24.3663,-11.3235],[24.3594,-11.3509],[24.327,-11.3705]]]]"
