province,district,name,HMIS_code,DHIS2_UID,smartcare_GUID,eLMIS_ID,iHRIS_ID,location,ownership,facility_type,longitude,latitude,catchment_population_head_count,catchment_population_cso,operation_status
Luapula,Chienge,Kalobwa Health  Post ,,sRQBRQ0J9Im,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chienge,Kanyangala Health Post,,BA6CCUjtv57,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chienge,Lukata Health Post ,,taTkpNxeioN,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chipili,Chishinki health Post ,,ioWdL7tsJi2,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chipili,Kamami Health Post ,,ToDBA5whhtE,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chipili,Kansonta Health Post ,,gRd2uMb1qGL,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chipili,Mimbulu Health Post ,,i8s60xmjtMI,,,,Rural,GRZ,Health Post,,,,,
Luapula,Mansa,Chengo  First Level Hospital ,,vFmslurUCBy,,,,Rural,GRZ,1st Level Hospital,,,,,
Luapula,Mansa,Chilila Health Post ,,qjmByOmyUoc,,,,Rural,GRZ,Health Post,,,,,
Luapula,Mansa,Matenda  Health Post ,,T66spxdhvzM,,,,Rural,GRZ,Health Post,,,,,
Luapula,Mansa,Mbaso Health Post ,,dcnzWYxn2B7,,,,Rural,GRZ,Health Post,,,,,
Luapula,Mansa,Mwanda Health Post ,,hS4PXoqJv4i,,,,Rural,GRZ,Health Post,,,,,
Luapula,Mansa,Nachibibi Health Post ,,BZ2FhLhE1cj,,,,Rural,GRZ,Health Post,,,,,
Luapula,Nchelenge,Chilongo Health Post,,NkAXUZYGI7T,,,,Rural,GRZ,Health Post,,,,,
Luapula,Samfya,Bangweulu Medical Care,,EfaJ9O4toX5,,,,Urban,Private ,Health Centre Urban,,,,,
Luapula,Samfya,Chisakana Health Post ,,pfErXHFEcwN,,,,Rural,GRZ,Health Post,,,,,
Luapula,Samfya,Makasa Health Post ,,ew6u1UvGDe8,,,,Rural,GRZ,Health Post,,,,,
Luapula,Samfya,Mulisha Health Post ,,PH2IzzfJTEG,,,,Rural,GRZ,Health Post,,,,,
Luapula,Samfya,Twingi Health Post ,,TxZQyiFB6ZF,,,,Rural,GRZ,Health Post,,,,,
Lusaka,Chilanga,ALBARAKA Health Post,,FJQ8fd9GCS8,,,,NULL,Faith Based HF,District,,,,,
Lusaka,Chilanga,Malcom MakopoloMin Hospital,,lrwXgb88dOO,,,,Rural,GRZ,District,,,,,
Lusaka,Chilanga,Marian Health Post,,VfiggXYpXlR,,,,Rural,Faith Based HF,District,,,,,
Lusaka,Chilanga,Mtengo Health Post,,IDsihdnyvqD,,,,Rural,GRZ,District,,,,,
Lusaka,Chilanga,Royal Palm private hospital,,h7IfPG9cjO9,,,,Rural,GRZ,1st Level Hospital,,,,,
Lusaka,Lusaka,Ameer Medical Clinic,,tYzMRLiaZ70,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Lusaka,Bauleni Mini Hospital,,bylxj10JrQP,,,,Urban,GRZ,Health Centre Urban,,,,,
Lusaka,Lusaka,CBTO,,sEySREqNFHG,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Lusaka,Care for you medical clinic LTD,,zrc38JQfytm,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Lusaka,Chamba Valley Medical Center ,,wt6RFBn3vtH,,,,Urban,GRZ,Health Centre Urban,,,,,
Lusaka,Lusaka,Family Trust Medical Center,,MJOiIKvAx9O,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Lusaka,Medcross hospital,,Cn6fGHiGmul,,,,Urban,Private ,1st Level Hospital,,,,,
Lusaka,Lusaka,Micheal Chilufya Sata Rockfield Urban Health Centre,,R7vjjFb35V8,,,,Urban,GRZ,Health Centre Urban,,,,,
Lusaka,Lusaka,OMS.OM MEDICAL SERVICES,,ZCWyvyJ3DRN,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Lusaka,PEERLESS HEALTH SERVICES LTD CLINIC,,TF9lwHScNgs,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Lusaka,Royal Diagnostic Centre,,E51u6OYrvPl,,,,Urban,Private ,Health Centre Urban,,,,,
Lusaka,Rufunsa ,Chaola Health Post,,WoGlsy0IKmK,,,,Rural,GRZ,Health Post,,,,,
Lusaka,Rufunsa ,Chipeketi Health Post,,ML45YCMESDG,,,,Rural,GRZ,Health Post,,,,,
Lusaka,Rufunsa ,Ndubulula Health Post,,Df7e8kSkrsN,,,,Rural,GRZ,Health Post,,,,,
Muchinga,Kanchibiya, Kopa Mini Hospital,,VEwpwUzaSZ8,,,,Rural,GRZ,District,,,,,
Muchinga,Kanchibiya,Aluni  Health Post ,,jUKudgPNI3j,,,,Rural,GRZ,Health Post,,,,,
Muchinga,Kanchibiya,Chambeshi Health Post,,FK3lhn9xfsk,,,,Rural,GRZ,Health Post,,,,,
Muchinga,Kanchibiya,Kawama Health Post,,CAnrIpRcTiD,,,,Rural,GRZ,District,,,,,
Muchinga,Lavushi Manda ,Mpumba Mini Hospital ,,buwum9a1gtU,,,,Rural,GRZ,District,,,,,
Muchinga,Lavushi Manda,Mwelushi Health Post,,WY3v5q9H830,,,,Rural,GRZ,Health Post,,,,,
Muchinga,Lavushi Manda,Mwendachabe Health Post,,fI3FdSjUdCR,,,,Rural,GRZ,District,,,,,
Muchinga,Mafinga,Mafinga District Hospital ,,PKX19kQ3kuw,,,,Rural,GRZ,1st Level Hospital,,,,,
Muchinga,Shiwang'andu,Kabanda Mini Hospital,,d72IxNIj0yj,,,,Rural,GRZ,District,,,,,
Muchinga,Shiwang'andu,Kalalantekwe Mini Hospital,,IFK6BBZTrCG,,,,Rural,GRZ,District,,,,,
Muchinga,Shiwang'andu,Mutitima Health Post,,pBiboEjefRf,,,,Rural,GRZ,District,,,,,
Northern,Lunte,Nkandabana Health Post,,RkoS1rRnEfe,,,,NULL,GRZ,District,,,,,
Northern,Lunte,Tapa Health Post,,z5SoerfUyLu,,,,NULL,GRZ,District,,,,,
Northern,Lupososhi,Chibaye Health Post ,,bZmVxLVGzV0,,,,Rural,GRZ,Health Post,,,,,
Northern,Lupososhi,Mpasa  Health Post ,,tUWVV5QDj8a,,,,Rural,GRZ,Health Post,,,,,
Northern,Mpulungu,Mululwe Health Post ,,rYlLgIj5XQx,,,,NULL,GRZ,Health Post,,,,,
Northern,Mpulungu,Nsangu Health Post ,,awQnBorrJtL,,,,NULL,GRZ,Health Post,,,,,
Northern,Mungwi,Chitimukulu Mini Hosp,,cVxJr9Mz2VV,,,,Rural,GRZ,District,,,,,
Northern,Mungwi,Kayambi Mini Hospital,,fJb4Q4eif4y,,,,Rural,GRZ,District,,,,,
Northern,Mungwi,Ngoli Mini Hospital,,z0ivzbn6xqq,,,,Rural,GRZ,District,,,,,
Southern,Chirundu,Siangwemu Health Post,,eNFx0KgLdld,,,,Rural,GRZ,Health Post,,,,,
Southern,Siavonga,Kabbila  Health Post ,,a5r4dQUYS9e,,,,Rural,GRZ,District,,,,,
Southern,Siavonga,Moonga Health Post ,,k6W0x087UtT,,,,Rural,GRZ,District,,,,,
Southern,Siavonga,ZESCO Health Centre,,iq1eOSpgTmx,,,,Rural,GRZ,Health Centre Rural,,,,,
Western,Kalabo,Mushukula Health Post,,fRg6byujBct,,,,NULL,GRZ,Health Post,,,,,
Western,Kaoma,Kafwasonyi Health Post,,WAuDHv7T4eh,,,,Rural,GRZ,District,,,,,
Western,Kaoma,Kazabami Mini Hospital,,RKpr5YzQyKI,,,,Rural,GRZ,District,,,,,
Western,Luampa,Namapombwe Mini Hospital,,Apbe8PqS1eT,,,,Rural,GRZ,District,,,,,
Western,Lukulu,Kashamba Health Post ,,Udd6SFwUgpl,,,,Rural,GRZ,Health Post,,,,,
Western,Mongu,Kashembe Health Post,,RP9ig8MSHIt,,,,Rural,GRZ,Health Post,,,,,
Western,Mongu,Liande health Post,,CxFeCFTJgSD,,,,Rural,GRZ,Health Post,,,,,
Western,Mongu,Numushehse Health Post,,uC08wmPt4Ql,,,,Rural,GRZ,Health Post,,,,,
Western,Nalolo,Nalolo District Hospital,,NOQnxkW3HD8,,,,Rural,GRZ,1st Level Hospital,,,,,
Western,Nkeyema,Munkuye  Mini Hospital,,LtSz5dtJVKP,,,,Rural,GRZ,District,,,,,
Western,Sikongo,Liundu Health Post,,qMHus6f4L5E,,,,Rural,GRZ,District,,,,,
Western,Sikongo,Makia Health Post,,cHZ873GiBvb,,,,Rural,GRZ,District,,,,,
