province,district,name,HMIS_code,DHIS2_UID,smartcare_GUID,eLMIS_ID,iHRIS_ID,location,ownership,facility_type,longitude,latitude,catchment_population_head_count,catchment_population_cso,operation_status
Central,Kabwe,Katondo Mini Hospital,,iWCqbvocpAs,,,,Urban,GRZ,Health Centre Urban,,,,,
Central,Kabwe,Makululu Mini Hospital,,PtU04Uw2atk,,,,Urban,GRZ,Health Centre Urban,,,,,
Central,Kapiri-Mposhi ,Kapandwe  Health Post,,ERb0Wum41vj,,,,Rural,GRZ,Health Post,,,,,
Central,Kapiri-Mposhi ,Katukwe Health Post,,IoOLBqRG4mq,,,,Rural,GRZ,Health Post,,,,,
Central,Kapiri-Mposhi ,Shamputa Health Post ,,P0hCLBitiM3,,,,Rural,GRZ,Health Post,,,,,
Central,Luano,Liteta Health Post,,ITxpM25d52Y,,,,Rural,GRZ,Health Post,,,,,
Central,Luano,Milembo Health Post,,q37JRhduy8Z,,,,Rural,GRZ,Health Post,,,,,
Central,Mkushi,Lilanda Health Post,,m7SZ5Fjfwdi,,,,Rural,GRZ,District,,,,,
Central,Mkushi,Malubila Health Post,,nmam3K1A0LE,,,,Rural,GRZ,District,,,,,
Central,Mkushi,Upper Musofu Health Post,,MImjA8yONNx,,,,Rural,GRZ,District,,,,,
Central,Mumbwa,Kayumweyumwe Health Post,,wdeBIzEwqx0,,,,Rural,GRZ,Health Post,,,,,
Central,Mumbwa,Kitumba Correctional Farm Health Post,,Wxlsu6kTcHD,,,,Rural,GRZ,Health Post,,,,,
Central,Serenje,Kampumbu Health Post,,Z3M82NCNwxt,,,,Rural,GRZ,Health Post,,,,,
Central,Serenje,Masunga Health Post,,egWzfEwFoPs,,,,Rural,GRZ,Health Post,,,,,
Central,Serenje,Nabobwa Health Post,,Z5fV9IcFvwW,,,,Rural,GRZ,Health Post,,,,,
Central,Serenje,Nansanga Health Post,,ZYIq291c2uV,,,,Rural,GRZ,Health Post,,,,,
Eastern,Chama,Mwinichipeta health post,,d7udSVzULPC,,,,Rural,GRZ,Health Post,,,,,
Eastern,Chasefu,Chasefu Mini Hospital,,OxSSMMztjrE,,,,Rural,GRZ,District,,,,,
Eastern,Chasefu,Khuyu Health Post,,EqMxIPHnvD0,,,,Rural,GRZ,Health Post,,,,,
Eastern,Chipata,ALTAF,,TZECty9z3YW,,,,Urban,Private ,1st Level Hospital,,,,,
Eastern,Chipata,Chipata Trade mini hosp,,h9s4TBWlZ62,,,,Urban,GRZ,District,,,,,
Eastern,Chipata,Kagunda Mini Hospital,,Nh395rlkTZp,,,,Rural,GRZ,District,,,,,
Eastern,Katete,Bethsaida Medical Center,,NG2WSWjWmXE,,,,Rural,Private ,Health Centre Rural,,,,,
Eastern,Katete,Katete Boma Mini Hospital,,fXSpni4jFt7,,,,Rural,GRZ,District,,,,,
Eastern,Katete,Umodzi Health Post,,WKJeJJbr4ep,,,,Rural,GRZ,Health Post,,,,,
Eastern,Nyimba,Nyimba Medical Centre,,lWMYEReqg8e,,,,Urban,Private ,Health Centre Urban,,,,,
Eastern,Sinda,Nsheketeni mini Hospital,,QRPm2WQ724A,,,,Rural,GRZ,District,,,,,
Luapula,Chembe,Chembe min hospital,,UUYPqkj9hJB,,,,Rural,GRZ,1st Level Hospital,,,,,
Luapula,Chembe,Kasanga ,,d5lPiuGrr4E,,,,Rural,GRZ,Health Post,,,,,
Luapula,Chienge,Kalande Health Post ,,fssmc3p0ImI,,,,Rural,GRZ,Health Post,,,,,
